태스크,구분,장소명,주소,수신자,화물종류,톤수,task_group,cargo_id,ton_class,region,od_daily_km_benchmark,od_daily_trips_benchmark,estimated_task_distance_km,haversine_leg_km
1,상차지,상지빌딩,"서울특별시 성동구 마장로35길 66, 지하1층 (마장동)",,,,1,T1-P1,large,서울,246.1,4.54,98.4,
1,하차지,주식회사 쿱로지스틱스,"충청북도 괴산군 괴산읍 자연식품2길 51, 괴산아이쿱 상온창고",장수빈,일반화물,18.1,1,T1-C1,large,서울,246.1,4.54,98.4,123.31
2,상차지,경동물류(주),"경상남도 양산시 물금읍 제방로 27-9, 1동",,,,2,T2-P1,large,경남,225.3,4.34,90.1,
2,하차지,주식회사 태명산업,"전북특별자치도 군산시 외항로 885, 주식회사 태명산업 (오식도동)",이서연,하역,22.2,2,T2-C1,large,경남,225.3,4.34,90.1,138.83
3,상차지,(주)에스피씨지에프에스,경기도 용인시 처인구 백암면 한택로88번길 260,,,,3,T3-P1,medium,경기,204.9,5.63,21.9,
3,하차지,쿠팡풀필먼트서비스(유),"경기도 이천시 마장면 이장로 329-38, CBRE GI 서이천 물류센터",장예진,일반화물,6.7,3,T3-C1,medium,경기,204.9,5.63,21.9,16.82
4,상차지,대전농업협동조합,전라남도 담양군 대전면 추성1로 208,,,,4,T4-P1,large,전남,259.4,4.66,103.7,
4,하차지,(주)개미창고,"경기도 이천시 마장면 이장로311번길 5-30, 신관 2층",윤수빈,"양곡, 영농자재",9.8,4,T4-C1,large,전남,259.4,4.66,103.7,313.18
5,상차지,곡성군 옥당골 광역친환경농업 영농조합법인,전라남도 곡성군 오산면 오산로 907(유통센터),,,,5,T5-P1,medium,전남,196.3,4.59,78.5,
5,하차지,(주)유상냉장 보세창고,"경기도 용인시 기흥구 동탄기흥로 741 (고매동, 유상냉장)",윤소영,일반화물,2.5,5,T5-C1,medium,전남,196.3,4.59,78.5,293.18
5,하차지,위킵 인천저온센터,"인천광역시 미추홀구 염전로143번길 45, 지하1층 101,102호 (도화동)",강지훈,일반화물,2.4,5,T5-C2,medium,전남,196.3,4.59,78.5,104.45
6,상차지,엔와이국제물류주식회사,인천광역시 서구 갑문로 20 (오류동),,,,6,T6-P1,large,인천,190.6,3.99,76.2,
6,하차지,쿠팡로지스틱스서비스 유한회사,경상남도 김해시 장유로55번길 30-15(부곡동),김지원,"화장품, 생활용품, 일회용품 등",8.0,6,T6-C1,large,인천,190.6,3.99,76.2,256.55
6,하차지,삼양사,대구광역시 북구 유통단지로13길 8 (산격동),서민수,"화장품, 생활용품, 일회용품 등",7.9,6,T6-C2,large,인천,190.6,3.99,76.2,35.1
7,상차지,(주)행안주택,경기도 안성시 죽산면 송문주로 219,,,,7,T7-P1,medium,경기,223.0,6.13,89.2,
7,하차지,대봉유통,경상남도 김해시 진례면 고모로341번길 5,박승현,일반화물,3.0,7,T7-C1,medium,경기,223.0,6.13,89.2,265.03
7,하차지,(주)아시안타이거즈 트랜스팩,경기도 김포시 월곶면 고정로 79-34,오하은,일반화물,3.0,7,T7-C2,medium,경기,223.0,6.13,89.2,222.16
8,상차지,컬리창원센터,"경상남도 창원시 진해구 두동서로 33, 컬리물류센터 1,3,5층 (두동)",,,,8,T8-P1,large,경남,251.9,4.86,100.8,
8,상차지,평택항 동부두 보세창고,경기도 평택시 포승읍 평택항만길 145,,,,8,T8-P2,large,경남,251.9,4.86,100.8,265.14
8,하차지,(주)에이유이 보세창고,전북특별자치도 익산시 약촌로8길 62-9 (어양동),정현우,"일반화물, 야적전용",12.7,8,T8-C1|T8-C2,large,경남,251.9,4.86,100.8,233.41
9,상차지,(주)에스에스글로벌물류센터 보세창고,경기도 용인시 처인구 죽양대로1650번길 2-14 (원삼면),,,,9,T9-P1,large,경기,261.3,4.94,104.5,
9,상차지,(주)우진화학,경상북도 영천시 금호읍 오계공단길 33-11 (주)우진화학,,,,9,T9-P2,large,경기,261.3,4.94,104.5,163.7
9,하차지,에이치와이엘(주) 인천지점,인천광역시 남동구 논현고잔로 87(1층 고잔동),신유나,"일반, 일반화물",16.8,9,T9-C1|T9-C2,large,경기,261.3,4.94,104.5,224.73
10,상차지,(주)비엔에프로지스틱스,"경기도 용인시 처인구 백암면 백봉로295번길 60, 지하2층",,,,10,T10-P1,large,경기,228.5,4.32,91.4,
10,상차지,쿠팡로지스틱스서비스 유한회사 (성동1캠프),서울특별시 성동구 뚝섬로1길 38(성수동1가),,,,10,T10-P2,large,경기,228.5,4.32,91.4,60.26
10,하차지,(주)코업로지스틱스,경기도 화성시 동탄구 동탄물류로 48(화성동탄물류단지비블럭 B동 2층 일부호 신동),최하은,"공산품, 생활용품 등, 일상생활용품, 전자제품, 가공식품 등",14.7,10,T10-C1|T10-C2,large,경기,228.5,4.32,91.4,48.55
11,상차지,농업회사법인 주식회사조양에프엔지,경상북도 칠곡군 기산면 기산공단1길 11,,,,11,T11-P1,large,경북,232.2,4.41,92.9,
11,상차지,(주)엘엑스판토스,"경상북도 구미시 산호대로 264-16, 3층 (공단동)",,,,11,T11-P2,large,경북,232.2,4.41,92.9,20.9
11,하차지,㈜미빙냉장,경기 광주시 장지9길 74,오성민,일반화물,11.1,11,T11-C1,large,경북,232.2,4.41,92.9,165.53
11,하차지,포스코플로우(주) 제1보세창고,"전라남도 광양시 제철로 1800 (금호동, (주)POSCO)",신준호,전자 자재/부품,11.1,11,T11-C2,large,경북,232.2,4.41,92.9,315.04
12,상차지,(주)서브원,"충청북도 청주시 청원구 오창읍 두릉유리로 688, 일산방직(주)",,,,12,T12-P1,medium,충북,181.5,4.22,72.6,
12,상차지,중앙물류 보세창고,세종특별자치시  산단길 22-50 (전의면),,,,12,T12-P2,medium,충북,181.5,4.22,72.6,27.23
12,하차지,오뚜기물류서비스(주),경상북도 칠곡군 왜관읍 호국로 405-8,장성민,"칼라박스, 스트레치필름, 복사용지, 테이프 등",1.9,12,T12-C1,medium,충북,181.5,4.22,72.6,146.51
12,하차지,(주)디더블유로지스틱스보세창고,경상남도 양산시 삼동로 23 (하북면),한현우,일반,2.0,12,T12-C2,medium,충북,181.5,4.22,72.6,76.2
13,상차지,농업회사법인 주식회사 진센,충청남도 서산시 고북면 내포로 2236-37,,,,13,T13-P1,large,충남,247.4,4.7,99.0,
13,상차지,현진로지스 보세창고,경기도 이천시 대월면 대장로 187,,,,13,T13-P2,large,충남,247.4,4.7,99.0,94.74
13,하차지,주식회사 씨에이치테크,경상북도 김천시 감천면 금감로 1252,신소영,일반화물,10.9,13,T13-C1,large,충남,247.4,4.7,99.0,177.44
13,하차지,아시아냉동(주),"부산광역시 서구 원양로 179, 아시아냉장 (암남동)",임하은,일반,11.0,13,T13-C2,large,충남,247.4,4.7,99.0,154.14
14,상차지,홈플러스(주),"경상남도 함안군 칠서면 공단서2길 45, 홈플러스 함안 물류센터",,,,14,T14-P1,large,경남,236.4,4.56,94.6,
14,상차지,㈜유한로지스틱스,경기도 이천시 부발읍 황무로1833번길 75,,,,14,T14-P2,large,경남,236.4,4.56,94.6,261.39
14,하차지,쿠팡로지스틱스서비스 유한회사,"경기도 김포시 김포한강10로133번길 17, 김포한강신도시 물류센터 6층 (구래동)",최태양,일반화물,5.8,14,T14-C1,large,경남,236.4,4.56,94.6,5.01
14,하차지,보형빌딩,"서울특별시 성동구 마장로31나길 17(마장동빌딩 지하1,2층 마장동)",임민수,냉동식품,5.7,14,T14-C2,large,경남,236.4,4.56,94.6,89.86
15,상차지,(주)천우익스프레스양산보세창고,"경상남도 양산시 상북중앙로 43 (상북면, (주)천우익스프레스)",,,,15,T15-P1,medium,경남,201.6,5.37,80.7,
15,하차지,로지스팟 주식회사,경기도 평택시 서탄면 발안로 1198-5,최도윤,일반,1.5,15,T15-C1,medium,경남,201.6,5.37,80.7,220.37
15,하차지,주식회사 세하로지스,경기도 안성시 일죽면 고목남길 125,김지훈,일반,1.5,15,T15-C2,medium,경남,201.6,5.37,80.7,3.75
15,하차지,협동냉장,"경상남도 진주시 큰들로65번길 11(상평동,번지1,2층)",강소영,일반,1.6,15,T15-C3,medium,경남,201.6,5.37,80.7,236.73
16,상차지,(주)비지에프로지스,"경상남도 양산시 어실로 320-81, 모락스보세장치장 (어곡동)",,,,16,T16-P1,small,경남,114.9,5.52,46.0,
16,하차지,(주)여수룬 인터내셔날,경기도 광주시 초월읍 산수로 302,김예진,식품 잡화 등,0.4,16,T16-C1,small,경남,114.9,5.52,46.0,248.29
16,하차지,태경로직스,충청북도 음성군 대소읍 대물로 69,오하은,식품 잡화 등,0.4,16,T16-C2,small,경남,114.9,5.52,46.0,65.98
16,하차지,씨제이대한통운강릉센터,강원특별자치도 강릉시 율곡로 3214(1층 죽헌동),최준호,식품 잡화 등,0.3,16,T16-C3,small,경남,114.9,5.52,46.0,78.24
17,상차지,(주)빙그레 남대구영업소,"대구광역시 달성군 화원읍 사문진로7길 18, 1동",,,,17,T17-P1,large,대구,271.5,4.86,108.6,
17,상차지,롯데글로벌로지스(주),경기도 안성시 서운면 서미로 51,,,,17,T17-P2,large,대구,271.5,4.86,108.6,192.98
17,하차지,(주)한진,충청북도 청주시 서원구 남이면 청남로 845,최예진,일반화물,6.1,17,T17-C1,large,대구,271.5,4.86,108.6,61.07
17,하차지,낭만,"서울특별시 성동구 마장로35길 76, 지층 119호~123호 (마장동, 현대아파트)",신지훈,"빙과, 식품, 유지",6.1,17,T17-C2,large,대구,271.5,4.86,108.6,121.3
17,하차지,제트로직스 주식회사,"경기도 김포시 양촌읍 황금로 299, 6,7(1/2)층",임수빈,일반화물,6.2,17,T17-C3,large,대구,271.5,4.86,108.6,63.06
18,상차지,현주물류,"경기도 이천시 부발읍 중부대로2000번길 37, 4층",,,,18,T18-P1,large,경기,228.8,4.33,91.5,
