order_id,task_group,cargo_id,위치구분,장소명,주소,무게(톤),수신자
1,1,T1-P1,상차지,상지빌딩,"서울특별시 성동구 마장로35길 66, 지하1층 (마장동)",,
1,1,T1-C1,하차지,주식회사 쿱로지스틱스,"충청북도 괴산군 괴산읍 자연식품2길 51, 괴산아이쿱 상온창고",18.1,장수빈
2,2,T2-P1,상차지,경동물류(주),"경상남도 양산시 물금읍 제방로 27-9, 1동",,
2,2,T2-C1,하차지,주식회사 태명산업,"전북특별자치도 군산시 외항로 885, 주식회사 태명산업 (오식도동)",22.2,이서연
3,3,T3-P1,상차지,(주)에스피씨지에프에스,경기도 용인시 처인구 백암면 한택로88번길 260,,
3,3,T3-C1,하차지,쿠팡풀필먼트서비스(유),"경기도 이천시 마장면 이장로 329-38, CBRE GI 서이천 물류센터",6.7,장예진
4,4,T4-P1,상차지,대전농업협동조합,전라남도 담양군 대전면 추성1로 208,,
4,4,T4-C1,하차지,(주)개미창고,"경기도 이천시 마장면 이장로311번길 5-30, 신관 2층",9.8,윤수빈
5,5,T5-P1,상차지,곡성군 옥당골 광역친환경농업 영농조합법인,전라남도 곡성군 오산면 오산로 907(유통센터),,
5,5,T5-C1,하차지,(주)유상냉장 보세창고,"경기도 용인시 기흥구 동탄기흥로 741 (고매동, 유상냉장)",2.5,윤소영
5,5,T5-C2,하차지,위킵 인천저온센터,"인천광역시 미추홀구 염전로143번길 45, 지하1층 101,102호 (도화동)",2.4,강지훈
6,6,T6-P1,상차지,엔와이국제물류주식회사,인천광역시 서구 갑문로 20 (오류동),,
6,6,T6-C1,하차지,쿠팡로지스틱스서비스 유한회사,경상남도 김해시 장유로55번길 30-15(부곡동),8.0,김지원
6,6,T6-C2,하차지,삼양사,대구광역시 북구 유통단지로13길 8 (산격동),7.9,서민수
7,7,T7-P1,상차지,(주)행안주택,경기도 안성시 죽산면 송문주로 219,,
7,7,T7-C1,하차지,대봉유통,경상남도 김해시 진례면 고모로341번길 5,3.0,박승현
7,7,T7-C2,하차지,(주)아시안타이거즈 트랜스팩,경기도 김포시 월곶면 고정로 79-34,3.0,오하은
8,8,T8-P1,상차지,컬리창원센터,"경상남도 창원시 진해구 두동서로 33, 컬리물류센터 1,3,5층 (두동)",,
8,8,T8-P2,상차지,평택항 동부두 보세창고,경기도 평택시 포승읍 평택항만길 145,,
8,8,T8-C1|T8-C2,하차지,(주)에이유이 보세창고,전북특별자치도 익산시 약촌로8길 62-9 (어양동),12.7,정현우
9,9,T9-P1,상차지,(주)에스에스글로벌물류센터 보세창고,경기도 용인시 처인구 죽양대로1650번길 2-14 (원삼면),,
9,9,T9-P2,상차지,(주)우진화학,경상북도 영천시 금호읍 오계공단길 33-11 (주)우진화학,,
9,9,T9-C1|T9-C2,하차지,에이치와이엘(주) 인천지점,인천광역시 남동구 논현고잔로 87(1층 고잔동),16.8,신유나
10,10,T10-P1,상차지,(주)비엔에프로지스틱스,"경기도 용인시 처인구 백암면 백봉로295번길 60, 지하2층",,
10,10,T10-P2,상차지,쿠팡로지스틱스서비스 유한회사 (성동1캠프),서울특별시 성동구 뚝섬로1길 38(성수동1가),,
10,10,T10-C1|T10-C2,하차지,(주)코업로지스틱스,경기도 화성시 동탄구 동탄물류로 48(화성동탄물류단지비블럭 B동 2층 일부호 신동),14.7,최하은
11,11,T11-P1,상차지,농업회사법인 주식회사조양에프엔지,경상북도 칠곡군 기산면 기산공단1길 11,,
11,11,T11-P2,상차지,(주)엘엑스판토스,"경상북도 구미시 산호대로 264-16, 3층 (공단동)",,
11,11,T11-C1,하차지,㈜미빙냉장,경기 광주시 장지9길 74,11.1,오성민
11,11,T11-C2,하차지,포스코플로우(주) 제1보세창고,"전라남도 광양시 제철로 1800 (금호동, (주)POSCO)",11.1,신준호
12,12,T12-P1,상차지,(주)서브원,"충청북도 청주시 청원구 오창읍 두릉유리로 688, 일산방직(주)",,
12,12,T12-P2,상차지,중앙물류 보세창고,세종특별자치시  산단길 22-50 (전의면),,
12,12,T12-C1,하차지,오뚜기물류서비스(주),경상북도 칠곡군 왜관읍 호국로 405-8,1.9,장성민
12,12,T12-C2,하차지,(주)디더블유로지스틱스보세창고,경상남도 양산시 삼동로 23 (하북면),2.0,한현우
13,13,T13-P1,상차지,농업회사법인 주식회사 진센,충청남도 서산시 고북면 내포로 2236-37,,
13,13,T13-P2,상차지,현진로지스 보세창고,경기도 이천시 대월면 대장로 187,,
13,13,T13-C1,하차지,주식회사 씨에이치테크,경상북도 김천시 감천면 금감로 1252,10.9,신소영
13,13,T13-C2,하차지,아시아냉동(주),"부산광역시 서구 원양로 179, 아시아냉장 (암남동)",11.0,임하은
14,14,T14-P1,상차지,홈플러스(주),"경상남도 함안군 칠서면 공단서2길 45, 홈플러스 함안 물류센터",,
14,14,T14-P2,상차지,㈜유한로지스틱스,경기도 이천시 부발읍 황무로1833번길 75,,
14,14,T14-C1,하차지,쿠팡로지스틱스서비스 유한회사,"경기도 김포시 김포한강10로133번길 17, 김포한강신도시 물류센터 6층 (구래동)",5.8,최태양
14,14,T14-C2,하차지,보형빌딩,"서울특별시 성동구 마장로31나길 17(마장동빌딩 지하1,2층 마장동)",5.7,임민수
15,15,T15-P1,상차지,(주)천우익스프레스양산보세창고,"경상남도 양산시 상북중앙로 43 (상북면, (주)천우익스프레스)",,
15,15,T15-C1,하차지,로지스팟 주식회사,경기도 평택시 서탄면 발안로 1198-5,1.5,최도윤
15,15,T15-C2,하차지,주식회사 세하로지스,경기도 안성시 일죽면 고목남길 125,1.5,김지훈
15,15,T15-C3,하차지,협동냉장,"경상남도 진주시 큰들로65번길 11(상평동,번지1,2층)",1.6,강소영
16,16,T16-P1,상차지,(주)비지에프로지스,"경상남도 양산시 어실로 320-81, 모락스보세장치장 (어곡동)",,
16,16,T16-C1,하차지,(주)여수룬 인터내셔날,경기도 광주시 초월읍 산수로 302,0.4,김예진
16,16,T16-C2,하차지,태경로직스,충청북도 음성군 대소읍 대물로 69,0.4,오하은
16,16,T16-C3,하차지,씨제이대한통운강릉센터,강원특별자치도 강릉시 율곡로 3214(1층 죽헌동),0.3,최준호
17,17,T17-P1,상차지,(주)빙그레 남대구영업소,"대구광역시 달성군 화원읍 사문진로7길 18, 1동",,
17,17,T17-P2,상차지,롯데글로벌로지스(주),경기도 안성시 서운면 서미로 51,,
17,17,T17-C1,하차지,(주)한진,충청북도 청주시 서원구 남이면 청남로 845,6.1,최예진
17,17,T17-C2,하차지,낭만,"서울특별시 성동구 마장로35길 76, 지층 119호~123호 (마장동, 현대아파트)",6.1,신지훈
17,17,T17-C3,하차지,제트로직스 주식회사,"경기도 김포시 양촌읍 황금로 299, 6,7(1/2)층",6.2,임수빈
18,18,T18-P1,상차지,현주물류,"경기도 이천시 부발읍 중부대로2000번길 37, 4층",,
18,18,T18-P2,상차지,신성물산보세창고,인천광역시 중구 축항대로 274,,
18,18,T18-C1,하차지,(주)성우 F&G,경상남도 김해시 식만로 377-155(불암동),6.2,박소영
18,18,T18-C2,하차지,고려비철금속(주) 유독물창고,인천광역시 남동구 앵고개로 675-4 고잔동 296-1,6.2,조승현
18,18,T18-C3,하차지,(주)KCC 울산물류센터,"울산광역시 울주군 두서면 활천산업로 119, (주)KCC울산물류창고 3동",6.1,강수빈
19,19,T19-P1,상차지,헬스앤뷰티 주식회사,전북특별자치도 익산시 삼기면 삼기농공단지길 27,,
19,19,T19-P2,상차지,천일물류(주) 냉동냉장 보세창고,"인천광역시 남동구 앵고개로 426 (고잔동, 천일식품제조(주))",,
19,19,T19-P3,상차지,광일물류(주),"울산광역시 울주군 언양읍 반구대로 1305-73, 광일물류 1동",,
19,19,T19-C1|T19-C2|T19-C3,하차지,이마트에브리데이,경상북도 경산시 하양읍 지식산업2로 95,13.8,조민수
20,20,T20-P1,상차지,"(주)세이고(SAYGO Co.,Ltd.)","경기도 부천시 오정구 오정로95번길 66, 부천내동 복합물류센터 7층 (내동)",,
20,20,T20-P2,상차지,(주)블루엠텍,경기도 평택시 청북읍 드림산단1로 45,,
20,20,T20-P3,상차지,(주)태성푸드,충청북도 진천군 진천읍 장수로 147-28 ((주)씨티에스),,
20,20,T20-C1|T20-C3,하차지,씨제이대한통운(주),경상북도 안동시 서후면 북평로 167,5.0,박서연
20,20,T20-C2,하차지,(주)청정냉동,경상남도 양산시 소주회야로 45-89 (소주동),2.5,신예진
