order_id,화주이름,화물종류,무게(톤),task_group,region,ton_class,od_daily_km_benchmark,od_daily_trips_benchmark,estimated_distance_km
1,상지빌딩,일반화물,18.1,1,서울,large,246.1,4.54,98.4
2,경동물류(주),하역,22.2,2,경남,large,225.3,4.34,90.1
3,(주)에스피씨지에프에스,일반화물,6.7,3,경기,medium,204.9,5.63,21.9
4,대전농업협동조합,"양곡, 영농자재",9.8,4,전남,large,259.4,4.66,103.7
5,곡성군 옥당골 광역친환경농업 영농조합법인,일반화물,4.9,5,전남,medium,196.3,4.59,78.5
6,엔와이국제물류주식회사,"화장품, 생활용품, 일회용품 등",15.9,6,인천,large,190.6,3.99,76.2
7,(주)행안주택,일반화물,6.0,7,경기,medium,223.0,6.13,89.2
8,컬리창원센터,일반화물,12.7,8,경남,large,251.9,4.86,100.8
9,(주)에스에스글로벌물류센터 보세창고,일반,16.8,9,경기,large,261.3,4.94,104.5
10,(주)비엔에프로지스틱스,"공산품, 생활용품 등",14.7,10,경기,large,228.5,4.32,91.4
11,농업회사법인 주식회사조양에프엔지,일반화물,22.2,11,경북,large,232.2,4.41,92.9
12,(주)서브원,"칼라박스, 스트레치필름, 복사용지, 테이프 등",3.9,12,충북,medium,181.5,4.22,72.6
13,농업회사법인 주식회사 진센,일반화물,21.9,13,충남,large,247.4,4.7,99.0
14,홈플러스(주),일반화물,11.5,14,경남,large,236.4,4.56,94.6
15,(주)천우익스프레스양산보세창고,일반,4.6,15,경남,medium,201.6,5.37,80.7
16,(주)비지에프로지스,식품 잡화 등,1.1,16,경남,small,114.9,5.52,46.0
17,(주)빙그레 남대구영업소,일반화물,18.4,17,대구,large,271.5,4.86,108.6
18,현주물류,건강보조식품,18.5,18,경기,large,228.8,4.33,91.5
19,헬스앤뷰티 주식회사,일반화물,13.8,19,전북,large,252.7,4.09,101.1
20,"(주)세이고(SAYGO Co.,Ltd.)","문구, 화장품, 건강기능식품 등",7.5,20,경기,medium,215.2,5.92,86.1
