노선번호,도로명,도로등급,제한속도(km/h),00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0010,경부고속국도,고속국도,102.1,92.5,91.0,89.5,88.4,88.9,90.7,90.5,91.1,93.4,92.3,91.3,91.7,92.7,93.0,92.1,91.5,90.7,88.6,88.8,91.2,92.1,93.4,93.5,93.5
0100,서순천IC,고속국도,98.6,95.9,94.2,92.4,91.4,91.5,92.6,93.5,95.5,96.4,94.3,92.9,93.8,95.0,95.0,93.9,93.5,92.6,91.9,93.0,95.7,96.9,97.2,97.2,97.0
0101,시점(영암군학산면은곡리),고속국도,100.0,95.9,95.4,94.8,94.2,93.6,94.6,96.5,100.5,102.9,101.5,101.3,101.9,102.2,102.3,102.3,102.7,103.6,102.9,100.9,100.6,100.3,100.0,99.6,98.4
0120,문흥JC,고속국도,100.0,94.9,92.2,90.3,90.0,90.3,92.3,95.8,100.5,102.9,102.4,102.0,101.9,102.1,102.9,103.6,104.3,104.7,103.8,102.2,101.8,101.1,100.4,99.1,97.4
0121,무안공항IC,고속국도,100.0,97.6,97.3,96.0,94.0,92.5,94.1,94.3,95.1,97.7,98.2,98.0,98.8,99.1,98.3,98.0,98.3,98.2,97.3,96.6,98.4,98.4,99.1,98.8,98.7
0140,고창JC,고속국도,100.0,96.0,94.0,92.0,90.4,91.3,92.7,94.8,98.6,100.7,100.1,100.3,100.9,101.1,101.7,101.9,102.8,103.3,102.7,101.9,101.8,101.2,100.8,99.8,97.7
0141,함양울산선,고속국도,100.0,89.9,87.7,86.0,85.7,86.2,88.2,89.8,92.2,92.9,92.3,92.2,92.3,92.4,93.5,93.5,94.1,95.3,95.4,95.5,95.2,94.9,94.2,93.2,92.0
0150,서해안선,고속국도,108.0,97.0,95.9,94.5,93.7,93.6,94.1,93.6,95.6,97.8,96.6,96.0,96.6,97.7,97.8,97.1,96.8,96.5,95.2,94.3,96.2,97.8,98.4,98.7,98.0
0160,언양JC,고속국도,100.0,91.1,89.3,87.5,87.1,87.8,90.4,91.2,93.7,95.0,93.7,93.2,93.6,94.0,94.6,93.6,93.9,93.9,93.3,93.1,93.3,93.2,93.1,93.5,92.8
0200,팔공산IC,고속국도,100.0,97.2,94.9,92.7,90.4,91.3,94.6,96.3,99.5,100.5,99.8,99.6,99.9,100.5,100.7,100.3,100.2,99.9,99.0,99.0,99.8,99.8,99.6,99.2,98.5
